,defined_in,used_by,role
i_min,general_algorithm_on_containers.h,['general_algorithm_on_containers.h'],Internal
id2,grammar_Identifier.h,['grammar_Identifier.h'],Internal
idealize_Experiment_Pulse,experiment.h,['experiment.h'],Internal
idealize_Pulse,experiment.h,['experiment.h'],Internal
includesN,qmodel.h,['qmodel.h'],Internal
independent_variable_model,bayesian_linear_regression.h,['bayesian_linear_regression.h'],Internal
index_to_conformational_change,allosteric_models.h,['allosteric_models.h'],Internal
infinity,qmodel.h,['qmodel.h'],Internal
init_mcmc,parallel_tempering.h,['parallel_tempering.h'],Internal
init_mt,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
init_sim,qmodel.h,['qmodel.h'],Internal
insert_assigment,grammar_typed.h,['grammar_typed.h'],Internal
insert_high_temperture_beta,parallel_tempering.h,['parallel_tempering.h'],Internal
insert_or_assign,grammar_typed.h,['grammar_typed.h'],Internal
inverse_gamma_distribution,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
is_Binomial_Approximation_valid,qmodel.h,['qmodel.h'],Internal
is_Exponent,lexer_untyped.h,['lexer_untyped.h'],Internal
is_argument_separator,lexer_untyped.h,['lexer_untyped.h'],Internal
is_derivative,derivative_operator.h,['derivative_operator.h'],Internal
is_end_of_argument,lexer_untyped.h,['lexer_untyped.h'],Internal
is_end_of_argument_list,lexer_untyped.h,['lexer_untyped.h'],Internal
is_end_of_statement,lexer_untyped.h,['lexer_untyped.h'],Internal
is_equal,variables.h,['variables.h'],Internal
is_equal_at_pos,lexer_untyped.h,['lexer_untyped.h'],Internal
is_in,general_algorithm_on_containers.h,['general_algorithm_on_containers.h'],Internal
is_numeral,lexer_untyped.h,['lexer_untyped.h'],Internal
is_of_this_template_type,maybe_error.h,['maybe_error.h'],Internal
is_of_this_template_value_type,maybe_error.h,['maybe_error.h'],Internal
is_start_of_argument_list,lexer_untyped.h,['lexer_untyped.h'],Internal
is_start_of_comment,lexer_untyped.h,['lexer_untyped.h'],Internal
is_this_constexpr_Var,variables.h,['variables.h'],Internal
is_this_constexpr_Var_domain,variables.h,['variables.h'],Internal
isfixed,parameters.h,['parameters.h'],Internal
islessthan,variables.h,['variables.h'],Internal
kHz,variables.h,['variables.h'],Internal
key,grammar_Identifier.h,['grammar_Identifier.h'],Internal
last_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
leadingZero,maybe_error.h,['maybe_error.h'],Internal
lik_Poisson_noise,gsl_integrate.h,['gsl_integrate.h'],Internal
lik_Poisson_noise_f,gsl_integrate.h,['gsl_integrate.h'],Internal
lik_logL_Poisson_noise_f,gsl_integrate.h,['gsl_integrate.h'],Internal
load_Parameter_value,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
load_Prior_value,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
load_Recording_value,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
load_experiment,experiment.h,['experiment.h'],Internal
load_fractioned_Experiment,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
load_fractioned_Recording_value,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
load_recording,experiment.h,['experiment.h'],Internal
localtime,maybe_error.h,['maybe_error.h'],Internal
logDet,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
logDetCov,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
logEv,distributions.h,['distributions.h'],Internal
logLikelihoodPredictions,qmodel.h,['qmodel.h'],Internal
logLikelihood_Y_Predictions,qmodel.h,['qmodel.h'],Internal
logLs_0,distributions.h,['distributions.h'],Internal
logP_impl,distributions.h,['distributions.h'],Internal
logPrior,parallel_tempering.h,['parallel_tempering.h'],Internal
logit,distributions.h,['distributions.h'],Internal
logit_inv,distributions.h,['distributions.h'],Internal
m_P,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
macror_algorithm,qmodel.h,['qmodel.h'],Internal
make_Conformational_change_scheme,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_change_state_vector,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_interaction_state_vector,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_model_scheme,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_state_vector,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_states_and_index,allosteric_models.h,['allosteric_models.h'],Internal
make_Conformational_transition_list,allosteric_models.h,['allosteric_models.h'],Internal
make_F,function_measure_verification_and_optimization.h,['function_measure_verification_and_optimization.h'],Internal
make_F_P,function_measure_verification_and_optimization.h,['function_measure_verification_and_optimization.h'],Internal
make_Maybe_error,maybe_error.h,['maybe_error.h'],Internal
make_Maybe_variant,maybe_error.h,['maybe_error.h'],Internal
make_Ptotal_ij,qmodel.h,['qmodel.h'],Internal
make_Range,fold.h,['fold.h'],Internal
make_bayesian_linear_model,bayesian_linear_regression.h,['bayesian_linear_regression.h'],Internal
make_cuevi_compiler,CLI_function_table.h,['CLI_function_table.h'],Internal
make_dts_compiler,CLI_thermo_evidence_dts.h,['CLI_thermo_evidence_dts.h'],Internal
make_experiment_compiler,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
make_frac_compiler,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
make_io_compiler,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
make_logL_statistics,parallel_tempering.h,['parallel_tempering.h'],Internal
make_model_compiler,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
make_multivariate_normal_distribution_by_eig,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
make_multivariate_normal_distribution_of_probabilities,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
make_simulation_compiler,CLI_function_table.h,['CLI_function_table.h'],Internal
make_utilities_compiler,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
match,function_memoization.h,['function_memoization.h'],Internal
max_iteration_final,parallel_tempering.h,['parallel_tempering.h'],Internal
max_iteration_warming,parallel_tempering.h,['parallel_tempering.h'],Internal
max_possible_value_of_ymean,qmodel.h,['qmodel.h'],Internal
mean_duration,function_measure_verification_and_optimization.h,['function_measure_verification_and_optimization.h'],Internal
mean_logL_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
mean_var_logL_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
measure_area_pulse,experiment.h,['experiment.h'],Internal
measure_max_pulse,experiment.h,['experiment.h'],Internal
merge,lexer_typed.h,['lexer_typed.h'],Internal
min_possible_value_of_ymean,qmodel.h,['qmodel.h'],Internal
mixing_var_ratio,parallel_tempering.h,['parallel_tempering.h'],Internal
model_definition,allosteric_models.h,['allosteric_models.h'],Internal
monostate,models_MoffattHume_linear.h,['models_MoffattHume_linear.h'],Internal
multinomial_distribution,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
multinomial_transition_distribution,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
multivariate_normal_distribution_by_eig,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
multivariate_normal_distribution_of_probabilities,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
my_static_string,allosteric_models.h,['allosteric_models.h'],Internal
n0,allosteric_models.h,['allosteric_models.h'],Internal
n_,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
nan_logL,distributions.h,['distributions.h'],Internal
new_model_definition,allosteric_models.h,['allosteric_models.h'],Internal
new_to_old,allosteric_models.h,['allosteric_models.h'],Internal
normalize,qmodel.h,['qmodel.h'],Internal
notSymmetricMatrix,parameters_derivative.h,['parameters_derivative.h'],Internal
num_Parameters,parallel_tempering.h,['parallel_tempering.h'],Internal
num_walkers,parallel_tempering.h,['parallel_tempering.h'],Internal
observe_step_stretch_thermo_mcmc,parallel_tempering.h,['parallel_tempering.h'],Internal
observe_thermo_jump_mcmc,parallel_tempering.h,['parallel_tempering.h'],Internal
observer,parallel_tempering.h,['parallel_tempering.h'],Internal
out_N,qmodel.h,['qmodel.h'],Internal
out_x,qmodel.h,['qmodel.h'],Internal
out_y,qmodel.h,['qmodel.h'],Internal
outp,allosteric_models.h,['allosteric_models.h'],Internal
overloaded,maybe_error.h,['maybe_error.h'],Internal
par_off,allosteric_models.h,['allosteric_models.h'],Internal
par_on,allosteric_models.h,['allosteric_models.h'],Internal
periodicity,allosteric_models.h,['allosteric_models.h'],Internal
pile_argument_list,grammar_untyped.h,['grammar_untyped.h'],Internal
plogL,qmodel.h,['qmodel.h'],Internal
posterior,bayesian_linear_regression.h,['bayesian_linear_regression.h'],Internal
predictions,qmodel.h,['qmodel.h'],Internal
previous_duration,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
primitive_non_const,parameters_derivative.h,['parameters_derivative.h'],Internal
pulse_pos,experiment.h,['experiment.h'],Internal
push_back_expression,grammar_typed.h,['grammar_typed.h'],Internal
putback,general_output_operator.h,['general_output_operator.h'],Internal
qr,bayesian_linear_regression.h,['bayesian_linear_regression.h'],Internal
r_vlogL,qmodel.h,['qmodel.h'],Internal
r_y_mean,qmodel.h,['qmodel.h'],Internal
r_y_mean_max,qmodel.h,['qmodel.h'],Internal
r_y_mean_min,qmodel.h,['qmodel.h'],Internal
r_y_var,qmodel.h,['qmodel.h'],Internal
recursive,qmodel.h,['qmodel.h'],Internal
recursive_range,qmodel.h,['qmodel.h'],Internal
reduce_cov,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
remove_high_temperture_beta,parallel_tempering.h,['parallel_tempering.h'],Internal
rend,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
report_all,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
report_finalizer_data,parallel_tempering.h,['parallel_tempering.h'],Internal
report_finalizer_title,parallel_tempering.h,['parallel_tempering.h'],Internal
report_old,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
reporter,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
return_predictions_value,qmodel.h,['qmodel.h'],Internal
rgsqr_i,qmodel.h,['qmodel.h'],Internal
rotate,allosteric_models.h,['allosteric_models.h'],Internal
run_expression,grammar_typed.h,['grammar_typed.h'],Internal
run_simulation,CLI_function_table.h,['CLI_function_table.h'],Internal
run_statement,grammar_typed.h,['grammar_typed.h'],Internal
sample_,qmodel.h,['qmodel.h'],Internal
sample_Multinomial,qmodel.h,['qmodel.h'],Internal
sampler,distributions.h,['distributions.h'],Internal
save,qmodel.h,['qmodel.h'],Internal
save_experiment,experiment.h,['experiment.h'],Internal
save_fractioned_simulation,qmodel.h,['qmodel.h'],Internal
save_simulation,qmodel.h,['qmodel.h'],Internal
se,general_output_operator.h,['general_output_operator.h'],Internal
self_derivative,derivative_operator.h,['derivative_operator.h'],Internal
set_CueviAlgorithm,CLI_function_table.h,['CLI_function_table.h'],Internal
set_Likelihood_algorithm,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
set_ThermoAlgorithm,CLI_thermo_evidence.h,['CLI_thermo_evidence.h'],Internal
set_ThermoAlgorithm_dts,CLI_thermo_evidence_dts.h,['CLI_thermo_evidence_dts.h'],Internal
set_ThermoAlgorithm_fraction_dts,CLI_thermo_evidence_fraction_dts.h,['CLI_thermo_evidence_fraction_dts.h'],Internal
set_dx,parameters_derivative.h,['parameters_derivative.h'],Internal
set_simulation_algorithm,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
shuffeld_walkers,parallel_tempering.h,['parallel_tempering.h'],Internal
skip_comment,lexer_untyped.h,['lexer_untyped.h'],Internal
skip_plus_or_minus,lexer_untyped.h,['lexer_untyped.h'],Internal
skip_whiteline,lexer_untyped.h,['lexer_untyped.h'],Internal
skip_whitespace,lexer_untyped.h,['lexer_untyped.h'],Internal
skip_whitespaceline,lexer_untyped.h,['lexer_untyped.h'],Internal
sort_by_eigenvalue,lapack_headers.h,['lapack_headers.h'],Internal
ss0,maybe_error.h,['maybe_error.h'],Internal
ss1,maybe_error.h,['maybe_error.h'],Internal
starts_pulse,experiment.h,['experiment.h'],Internal
stddev,multivariate_normal_distribution.h,['multivariate_normal_distribution.h'],Internal
step_stretch_thermo_mcmc_old,parallel_tempering.h,['parallel_tempering.h'],Internal
stretch_move,parallel_tempering.h,['parallel_tempering.h'],Internal
sub_sample,qmodel.h,['qmodel.h'],Internal
sub_sub_sample,qmodel.h,['qmodel.h'],Internal
sum_Qdt,qmodel.h,['qmodel.h'],Internal
sum_Qn,qmodel.h,['qmodel.h'],Internal
swap,parallel_tempering.h,['parallel_tempering.h'],Internal
t_V,qmodel.h,['qmodel.h'],Internal
t_gtotal_ij,qmodel.h,['qmodel.h'],Internal
t_gtotal_var_ij,qmodel.h,['qmodel.h'],Internal
t_logLikelihood,qmodel.h,['qmodel.h'],Internal
t_sum,qmodel.h,['qmodel.h'],Internal
t_yvar,qmodel.h,['qmodel.h'],Internal
t_yvar_2,qmodel.h,['qmodel.h'],Internal
template_op,qmodel.h,['qmodel.h'],Internal
template_transformation,parameters.h,['parameters.h'],Internal
test_Probability_value,qmodel.h,['qmodel.h'],Internal
test_conductance_mean,qmodel.h,['qmodel.h'],Internal
test_conductance_variance,qmodel.h,['qmodel.h'],Internal
test_conductance_variances,qmodel.h,['qmodel.h'],Internal
tgamma,bayesian_linear_regression.h,['bayesian_linear_regression.h'],Internal
thermo,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_Model_by_max_iter,qmodel.h,['qmodel.h'],Internal
thermo_by_convergence,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_by_max_iter,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_convergence,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_evidence_loop,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_impl,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_jump_mcmc_old,parallel_tempering.h,['parallel_tempering.h'],Internal
thermo_levenberg_Model_by_max_iter,qmodel.h,['qmodel.h'],Internal
thermo_max,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_max_iter,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_store_every,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
thermo_store_every_and_report,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
timepoint,parallel_tempering_linear_regression.h,['parallel_tempering_linear_regression.h'],Internal
to_Probability,qmodel.h,['qmodel.h'],Internal
to_State_Model,qmodel.h,['qmodel.h'],Internal
to_Transition_Probability,qmodel.h,['qmodel.h'],Internal
to_Transition_Probability_Eigenvalues,qmodel.h,['qmodel.h'],Internal
to_end_of_line,lexer_untyped.h,['lexer_untyped.h'],Internal
to_state_conductance_count,allosteric_models.h,['allosteric_models.h'],Internal
to_state_count,allosteric_models.h,['allosteric_models.h'],Internal
to_state_index,allosteric_models.h,['allosteric_models.h'],Internal
to_time_t,maybe_error.h,['maybe_error.h'],Internal
total_count,function_measure_verification_and_optimization.h,['function_measure_verification_and_optimization.h'],Internal
transformation_type,derivative_operator.h,['derivative_operator.h'],Internal
transitions,allosteric_models.h,['allosteric_models.h'],Internal
truncate_negative_variance,qmodel.h,['qmodel.h'],Internal
typed_assigment,grammar_typed.h,['grammar_typed.h'],Internal
typed_assignment,grammar_typed.h,['grammar_typed.h'],Internal
typed_comment,grammar_typed.h,['grammar_typed.h'],Internal
typed_numeric_value,grammar_typed.h,['grammar_typed.h'],Internal
typed_string_value,grammar_typed.h,['grammar_typed.h'],Internal
uniform_real,parallel_tempering.h,['parallel_tempering.h'],Internal
uniform_stretch_zdist,parallel_tempering.h,['parallel_tempering.h'],Internal
uniform_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
untransformed_type,derivative_operator.h,['derivative_operator.h'],Internal
update,parallel_tempering.h,['parallel_tempering.h'],Internal
v_vplogL,qmodel.h,['qmodel.h'],Internal
v_y_mean,qmodel.h,['qmodel.h'],Internal
v_y_var,qmodel.h,['qmodel.h'],Internal
var_logL_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
var_mean_logL_walker,parallel_tempering.h,['parallel_tempering.h'],Internal
variance_correction_range,qmodel.h,['qmodel.h'],Internal
variance_range,qmodel.h,['qmodel.h'],Internal
variant_op,qmodel.h,['qmodel.h'],Internal
varr,derivative_operator.h,['derivative_operator.h'],Internal
verify,parameters.h,['parameters.h'],Internal
vplogL,qmodel.h,['qmodel.h'],Internal
walker,parallel_tempering.h,['parallel_tempering.h'],Internal
work,lapack_headers.h,['lapack_headers.h'],Internal
write_script,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
write_text,CLI_macro_dr_base.h,['CLI_macro_dr_base.h'],Internal
write_tuple_i,lapack_headers.h,['lapack_headers.h'],Internal
xi,derivative_test.h,['derivative_test.h'],Internal
y_baseline,qmodel.h,['qmodel.h'],Internal
y_mean,qmodel.h,['qmodel.h'],Internal
y_out,qmodel.h,['qmodel.h'],Internal
y_sum,qmodel.h,['qmodel.h'],Internal
y_var,qmodel.h,['qmodel.h'],Internal
ymean_Evolution,qmodel.h,['qmodel.h'],Internal
yvar_Evolution,qmodel.h,['qmodel.h'],Internal
zip_par,parameters_derivative.h,['parameters_derivative.h'],Internal
A,lapack_headers.h,"['maybe_error.h', 'qmodel.h', 'lapack_headers.h', 'experiment.h', 'parallel_tempering.h']",Provider
Agonist_concentration,experiment.h,"['CLI_function_table.h', 'qmodel.h', 'models_MoffattHume_allosteric.h', 'experiment.h', 'models_MoffattHume_linear.h']",Provider
ATP_evolution,experiment.h,"['experiment.h', 'qmodel.h']",Provider
AT_B_A,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
Abstract,grammar_untyped.h,"['grammar_untyped.h', 'grammar_Identifier.h']",Provider
Agonist_dependency,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Agonist_dependency_map,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Agonist_label,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Algorithm,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
Allost1,models_MoffattHume_linear.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h']",Provider
Binomial_magical_number,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
C,parameters_derivative.h,"['parameters_derivative.h', 'maybe_error.h', 'lapack_headers.h', 'variables.h', 'general_algorithm_on_containers.h', 'fold.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
C_Matrix,qmodel.h,"['qmodel.h', 'parameters.h', 'lapack_headers.h']",Provider
C_double,qmodel.h,"['distributions.h', 'qmodel.h']",Provider
Calc_Qdt,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Calc_Qdt_step,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Calc_Qdtm_step,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Calc_Qx,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Calc_eigen,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Compiler,lexer_untyped.h,"['grammar_typed.h', 'CLI_function_table.h', 'CLI_thermo_evidence_dts.h', 'lexer_untyped.h', 'lexer_typed.h', 'grammar_untyped.h', 'CLI_macro_dr_base.h', 'CLI_macro_dr.h']",Provider
Conductance_interaction,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conductance_interaction_info,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Conductance_interaction_kind,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Conductance_interaction_label,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conductance_interaction_players,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conductance_interaction_positions,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conductance_variance_error_tolerance,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Conformation_change_standard_state,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Conformational_change_label,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conformational_interaction,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conformational_interaction_index,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Conformational_interaction_label,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conformational_interaction_players,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conformational_interaction_positions,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Conformational_interaction_subposition,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Conformational_interactions_domain_state,allosteric_models.h,"['models_MoffattHume_allosteric.h', 'allosteric_models.h']",Provider
Constant,variables.h,"['distributions.h', 'qmodel.h', 'experiment.h', 'variables.h', 'allosteric_models.h', 'variables_derivative.h']",Provider
Container,general_algorithm_on_containers.h,"['parameters_derivative.h', 'general_algorithm_on_containers.h', 'fold.h']",Provider
Cov,multivariate_normal_distribution.h,"['bayesian_linear_regression.h', 'multivariate_normal_distribution.h', 'qmodel.h']",Provider
Cova,parallel_tempering.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'multivariate_normal_distribution.h', 'parallel_tempering.h']",Provider
Current_Baseline,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Current_Noise,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
D,parameters_derivative.h,"['distributions.h', 'derivative_operator.h', 'parameters_derivative.h', 'lapack_headers.h']",Provider
DataType,parallel_tempering.h,"['parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
Der,parameters_derivative.h,"['parameters_derivative.h', 'derivative_operator.h']",Provider
Derivative,parameters_derivative.h,"['parameters_derivative.h', 'CLI_function_table.h', 'parameters.h', 'derivative_operator.h', 'variables_derivative.h']",Provider
DiagPosDetMatrix,bayesian_linear_regression.h,"['parameters_derivative.h', 'parameters_distribution.h', 'qmodel.h', 'bayesian_linear_regression.h', 'multivariate_normal_distribution.h']",Provider
Duration,parallel_tempering.h,"['parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
Error,lapack_headers.h,"['CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'lapack_headers.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering_linear_regression.h', 'multivariate_normal_distribution.h']",Provider
Event_Timing,function_measure_verification_and_optimization.h,"['function_measure_verification_and_optimization.h', 'parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
Experiment,qmodel.h,"['CLI_thermo_evidence_fraction_dts.h', 'experiment.h', 'CLI_function_table.h', 'qmodel.h']",Provider
F,parameters_derivative.h,"['grammar_typed.h', 'distributions.h', 'parameters_derivative.h', 'gsl_integrate.h', 'derivative_test.h', 'CLI_function_table.h', 'maybe_error.h', 'lexer_typed.h', 'qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'general_algorithm_on_containers.h', 'fold.h', 'derivative_operator.h', 'function_memoization.h', 'models_MoffattHume_linear.h', 'CLI_macro_dr.h', 'variables_derivative.h']",Provider
FIM,distributions.h,"['distributions.h', 'parameters_distribution.h', 'qmodel.h']",Provider
Frequency_of_Sampling,experiment.h,"['experiment.h', 'qmodel.h']",Provider
Fun,variables.h,"['qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'derivative_operator.h', 'function_memoization.h', 'variables_derivative.h']",Provider
FuncMap_St,function_measure_verification_and_optimization.h,"['CLI_function_table.h', 'qmodel.h', 'function_measure_verification_and_optimization.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h']",Provider
FunctionTable,parallel_tempering.h,"['bayesian_linear_regression.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
G,qmodel.h,"['models_MoffattHume_linear.h', 'function_measure_verification_and_optimization.h', 'derivative_operator.h', 'qmodel.h']",Provider
Gamma,parallel_tempering_linear_regression.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'multivariate_normal_distribution.h']",Provider
Grad,distributions.h,"['distributions.h', 'qmodel.h']",Provider
I,function_measure_verification_and_optimization.h,"['function_measure_verification_and_optimization.h', 'derivative_operator.h', 'lapack_headers.h']",Provider
I_thread,function_measure_verification_and_optimization.h,"['function_measure_verification_and_optimization.h', 'parallel_tempering_linear_regression.h', 'function_memoization.h']",Provider
Id,parameters.h,"['parameters_derivative.h', 'parameters.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'allosteric_models.h', 'derivative_operator.h', 'function_memoization.h', 'models_MoffattHume_linear.h', 'variables_derivative.h']",Provider
IdName,parameters_distribution.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'parameters.h', 'parameters_distribution.h']",Provider
Identifier,grammar_Identifier.h,"['grammar_typed.h', 'grammar_Identifier.h', 'lexer_typed.h', 'grammar_untyped.h', 'CLI_regular_types.h']",Provider
Identifier_compiler,lexer_typed.h,"['grammar_typed.h', 'lexer_typed.h']",Provider
K,variables.h,"['variables.h', 'general_output_operator.h', 'lapack_headers.h']",Provider
Lexer,lexer_untyped.h,"['grammar_typed.h', 'grammar_Identifier.h', 'lexer_untyped.h', 'lexer_typed.h', 'grammar_untyped.h', 'CLI_macro_dr.h']",Provider
Likelihood,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
Likelihood_Model_regular,qmodel.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h']",Provider
Likelihood_Model_v,qmodel.h,"['CLI_thermo_evidence.h', 'qmodel.h']",Provider
M,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h', 'lapack_headers.h']",Provider
MacroR,qmodel.h,"['function_measure_verification_and_optimization.h', 'CLI_function_table.h', 'qmodel.h']",Provider
MacroR2,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Macro_DMR,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'CLI_function_table.h', 'qmodel.h']",Provider
Map,grammar_untyped.h,"['grammar_untyped.h', 'fold.h']",Provider
